fname,event
dataset\AknesDataFiles\DataSamples\Regional\2010_259_72_138921.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_279_45_141110.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_282_36_141494.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_308_63_144538.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_316_63_145064.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_326_45_145524.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_329_54_145809.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_361_63_147804.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_002_63_148286.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_008_45_148642.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_011_63_148783.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_012_54_148814.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_012_63_148800.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_013_45_148838.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_014_63_139102.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_014_63_139112.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_014_63_139113.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_019_36_139383.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_020_63_139408.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_021_63_139457.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_022_63_139546.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_023_63_139613.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_025_63_139755.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_026_63_139798.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_027_45_139823.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_028_54_139868.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_029_36_139960.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_029_63_139973.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_034_54_140197.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_034_54_140201.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_037_54_140466.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_037_63_140444.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_039_63_140603.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_039_63_140620.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_040_36_140713.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_040_63_140706.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_044_63_140934.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_054_36_141444.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_058_63_141742.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_058_63_141761.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_058_63_141791.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_059_63_141873.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_071_45_142567.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_080_36_143079.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_080_45_143010.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_082_63_143359.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_083_36_143487.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_083_45_143442.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_088_54_143783.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_089_63_143907.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_090_63_144018.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_090_63_144021.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_090_63_144022.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_091_54_144318.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_092_54_144391.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_092_54_144396.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_093_45_144712.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_095_36_144918.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_095_54_144913.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_096_36_145233.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_096_45_145234.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_103_36_146254.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_103_36_146274.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_111_36_147667.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_111_45_147699.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_112_36_148003.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_112_63_147810.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_113_45_148073.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_119_63_148878.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_129_36_149710.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2011_365_54_177815.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2012_004_54_178328.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2012_042_63_184349.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2012_067_63_187946.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2012_074_54_189243.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2012_084_63_191257.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2012_084_63_191312.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2012_089_63_192787.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2012_146_36_207113.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2012_147_63_207318.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2012_184_54_213840.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2012_225_54_218112.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2012_298_45_230314.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2012_335_54_233675.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2012_339_54_234346.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2012_340_36_234549.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2012_360_54_235638.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_013_45_236354.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_015_54_236440.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_023_54_236856.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_027_54_236967.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_044_36_237679.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_046_36_237747.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_050_54_237853.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_054_54_238034.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_066_36_238520.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_068_54_238583.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_081_54_238910.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_081_54_238915.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_094_36_239173.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_109_45_240128.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_120_36_240693.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_170_36_243897.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_175_45_244033.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_194_54_237777.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_197_54_238253.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_218_54_240068.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_225_54_240370.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_235_54_241376.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_238_54_241522.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_269_36_242501.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_298_54_244797.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_312_36_246014.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2013_323_54_247391.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_003_36_240935.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_021_45_243715.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_023_54_243813.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_049_36_241137.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_050_45_241152.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_051_45_241199.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_067_36_242480.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_082_36_243750.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_098_45_244900.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_099_36_245034.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_111_45_246408.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_111_54_246436.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_112_36_246541.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_125_54_247695.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_132_36_248223.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_177_54_240590.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_183_36_241004.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_186_36_241208.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_319_45_257768.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_321_63_258182.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_331_54_260818.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_331_72_260755.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2014_336_72_261244.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_031_54_270428.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_032_63_270507.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_044_36_271926.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_051_45_272981.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_054_36_273217.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_070_36_274895.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_075_63_276036.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_082_45_277632.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_111_36_285195.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_111_45_285288.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_115_45_286523.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_145_54_295298.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_147_54_296081.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_156_54_297574.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_160_54_298136.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_164_45_298971.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_193_36_301639.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_217_54_304563.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_230_36_306859.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_248_45_309941.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_251_36_310583.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_292_54_308532.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_345_63_310729.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2015_349_45_311215.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_011_72_317367.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_035_54_324400.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_042_72_325895.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_049_63_327131.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_067_72_329838.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_092_45_334385.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_101_63_335697.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_113_72_337606.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_123_36_340071.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_127_63_302311.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_128_63_302334.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_129_36_302499.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_129_36_302564.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_131_36_302839.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_131_63_302860.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_139_54_303818.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_144_45_304801.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_147_54_305633.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_162_54_307691.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_168_36_308914.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_169_54_309009.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_284_63_352024.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_311_63_361657.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2016_333_45_366479.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_005_54_379347.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_035_36_389530.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_059_36_400699.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_065_36_402875.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_066_45_402976.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_069_36_404418.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_086_36_412993.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_116_36_429168.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_120_36_431629.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_121_36_432378.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_122_36_432802.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_122_36_432900.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_123_36_433730.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_124_36_434529.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_125_36_434634.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_125_36_434651.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_202_45_393590.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_268_45_374784.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_343_45_401489.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2017_347_54_405337.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_016_54_394800.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_018_36_395038.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_018_45_395041.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_018_45_395045.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_031_36_395895.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_033_36_396012.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_047_45_397117.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_053_45_397505.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_056_36_397628.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_056_36_397641.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_056_45_397642.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_060_36_397873.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_060_45_397872.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_060_45_397882.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_066_36_398208.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_072_36_398477.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_073_45_398520.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_079_45_398876.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_097_45_400036.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_103_36_389030.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_104_36_389043.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_105_36_389375.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_109_63_390237.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_138_54_393414.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_164_54_395096.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_185_36_397064.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_206_54_399198.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_215_54_400793.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_216_63_400818.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_232_45_402270.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_233_36_402369.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_238_36_402593.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_271_45_389407.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_326_45_390778.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_329_45_389185.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2018_344_36_390565.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2019_038_36_392192.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2019_066_36_393675.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2019_071_36_393788.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2019_235_36_397253.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2019_268_39_399167.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2019_284_39_400564.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2019_287_39_400748.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2019_293_30_401090.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2019_300_39_401750.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2019_304_39_402025.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2019_315_36_402877.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2019_319_36_403146.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2019_323_30_403304.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2019_325_36_403406.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2019_327_39_403496.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2020_010_39_406163.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2020_029_39_407500.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2020_034_39_407793.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2020_054_39_409200.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2020_140_39_420862.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2020_154_39_423282.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2020_157_39_423571.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2020_196_39_427491.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2020_270_39_433864.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2020_289_39_435037.dat,Regional
dataset\AknesDataFiles\DataSamples\Rockfall\2007_004_36_114715.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2007_005_63_114793.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2007_015_45_115578.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2007_025_63_116322.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2007_029_45_116837.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2007_029_54_116832.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2007_032_36_117212.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2007_034_63_117530.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2007_041_63_118336.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2007_055_54_119591.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2007_056_36_119659.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2007_062_54_120190.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2007_074_45_121320.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2007_081_45_122197.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2007_082_45_122365.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2007_113_36_128422.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2007_291_45_169971.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2008_019_36_179336.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2008_032_36_180515.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2008_041_45_181747.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2008_050_63_183015.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2008_058_72_184177.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2008_076_54_187625.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2008_088_45_189729.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2008_093_72_190796.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2008_119_36_198312.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2008_125_63_200276.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2008_129_63_201977.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2008_142_45_204234.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2008_142_45_204282.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2008_161_45_206326.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2008_210_54_202488.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2008_301_72_212755.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2009_045_63_223236.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2009_117_36_232545.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2009_124_63_233992.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2009_133_63_235596.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2009_276_36_252205.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2009_338_63_111438.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2009_344_54_112402.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2009_357_63_113246.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2010_054_54_117530.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2010_083_54_120467.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2010_101_45_122068.dat,Rockfall
dataset\AknesDataFiles\DataSamples\Rockfall\2010_127_54_125154.dat,Rockfall
